FaceBlendShape.Timecode,FaceBlendShape.BlendShapeCount,FaceBlendShape.EyeBlinkLeft,FaceBlendShape.EyeLookDownLeft,FaceBlendShape.EyeLookInLeft,FaceBlendShape.EyeLookOutLeft,FaceBlendShape.EyeLookUpLeft,FaceBlendShape.EyeSquintLeft,FaceBlendShape.EyeWideLeft,FaceBlendShape.EyeBlinkRight,FaceBlendShape.EyeLookDownRight,FaceBlendShape.EyeLookInRight,FaceBlendShape.EyeLookOutRight,FaceBlendShape.EyeLookUpRight,FaceBlendShape.EyeSquintRight,FaceBlendShape.EyeWideRight,FaceBlendShape.JawForward,FaceBlendShape.JawRight,FaceBlendShape.JawLeft,FaceBlendShape.JawOpen,FaceBlendShape.MouthClose,FaceBlendShape.MouthFunnel,FaceBlendShape.MouthPucker,FaceBlendShape.MouthRight,FaceBlendShape.MouthLeft,FaceBlendShape.MouthSmileLeft,FaceBlendShape.MouthSmileRight,FaceBlendShape.MouthFrownLeft,FaceBlendShape.MouthFrownRight,FaceBlendShape.MouthDimpleLeft,FaceBlendShape.MouthDimpleRight,FaceBlendShape.MouthStretchLeft,FaceBlendShape.MouthStretchRight,FaceBlendShape.MouthRollLower,FaceBlendShape.MouthRollUpper,FaceBlendShape.MouthShrugLower,FaceBlendShape.MouthShrugUpper,FaceBlendShape.MouthPressLeft,FaceBlendShape.MouthPressRight,FaceBlendShape.MouthLowerDownLeft,FaceBlendShape.MouthLowerDownRight,FaceBlendShape.MouthUpperUpLeft,FaceBlendShape.MouthUpperUpRight,FaceBlendShape.BrowDownLeft,FaceBlendShape.BrowDownRight,FaceBlendShape.BrowInnerUp,FaceBlendShape.BrowOuterUpLeft,FaceBlendShape.BrowOuterUpRight,FaceBlendShape.CheekPuff,FaceBlendShape.CheekSquintLeft,FaceBlendShape.CheekSquintRight,FaceBlendShape.NoseSneerLeft,FaceBlendShape.NoseSneerRight,FaceBlendShape.TongueOut,FaceBlendShape.HeadYaw,FaceBlendShape.HeadPitch,FaceBlendShape.HeadRoll,FaceBlendShape.LeftEyeYaw,FaceBlendShape.LeftEyePitch,FaceBlendShape.LeftEyeRoll,FaceBlendShape.RightEyeYaw,FaceBlendShape.RightEyePitch,FaceBlendShape.RightEyeRoll
16:22:02:07.939,61,0.0,0.0,0.047239702,0,0.060822289,0.251902878,0.255855739,0.0,0.0,0.073198251,0.0,0.060905345,0.251901567,0.256139785,0.021461871,0.0,0.029853823,0.030628104,0.046941698,0.035746899,0.089719944,0.0,0.000598715,0.080065928,0.05458409,0.0,0.0,0.017188875,0.018056937,0.036287427,0.041725963,0.085830696,0.026284427,0.180765629,0.134407565,0.107987188,0.103679404,0.092217468,0.083151892,0.103622586,0.099738576,0.816874385,0.816734612,0.013917141,0.0,0.0,0.019465905,0.138496339,0.144904092,0.545660794,0.519971132,8e-10,0.017258231,-0.111712325,-0.001832158,-0.044698469,-0.026601544,0.001188932,0.028846933,-0.026549779,-0.000765953
16:22:02:08.941,61,0.0,0.0,0.046964772,0,0.061332367,0.25541237,0.249085903,0.0,0.0,0.073472872,0.0,0.061414059,0.255410165,0.249375284,0.021438878,0.0,0.030094663,0.030730635,0.047136892,0.035855535,0.090186209,0.0,0.000672233,0.07940685,0.05407973,0.0,0.0,0.017122269,0.017981296,0.036286015,0.04170949,0.085877441,0.026337195,0.179735288,0.133243009,0.10813649,0.103817038,0.092671946,0.083614714,0.103194974,0.099404223,0.818947792,0.818805635,0.013890551,0.0,0.0,0.019485833,0.138711274,0.145017028,0.542752564,0.517635047,6e-10,0.017510265,-0.11248614200000001,-0.001503908,-0.044865903,-0.026823938,0.001203365,0.028678875,-0.026772304,-0.000767878
16:22:02:09.942,61,0.0,0.0,0.046923991,0,0.061334282,0.257585347,0.245099679,0.0,0.0,0.073504515,0.0,0.06141597,0.257582128,0.245392442,0.021445625,0.0,0.030300595,0.030846339,0.047335316,0.036032271,0.090982802,0.0,0.000772319,0.078844763,0.053661116,0.0,0.0,0.017057357,0.017908521,0.036223151,0.041623194,0.08602415,0.026429318,0.179193184,0.132573456,0.10854838,0.104206614,0.09304674,0.084007733,0.102834217,0.099131852,0.820191562,0.82004863,0.013842756,0.0,0.0,0.019549146,0.138934314,0.145131722,0.541678488,0.516772628,8e-10,0.017481247,-0.11364959499999999,-0.001677514,-0.044885222,-0.026824797,0.001203921,0.02865397,-0.026773123,-0.000767234
16:22:02:10.944,61,0.0,0.0,0.046345271,0,0.061873592,0.263733655,0.232068941,0.0,0.0,0.074111946,0.0,0.06195337,0.263729185,0.232407242,0.0214583,0.0,0.030527264,0.030985756,0.047568757,0.03620933,0.091622964,0.0,0.000806891,0.077750906,0.052979983,0.0,0.0,0.017002776,0.017847272,0.036210276,0.041568413,0.086214028,0.026546568,0.178570181,0.131840348,0.108946666,0.104601808,0.093491927,0.084473416,0.102362506,0.098765262,0.822551072,0.822407246,0.013841665,0.0,0.0,0.019592261,0.139400333,0.145475254,0.540940464,0.516219616,1.3e-09,0.017573677,-0.11446009899999998,-0.001825674,-0.045255866,-0.02705997,0.001224503,0.028300397,-0.027008265,-0.000764428
16:22:02:11.946,61,0.0,0.0,0.046147555,0,0.063479237,0.267789811,0.225739911,0.0,0.0,0.074326836,0.0,0.063557372,0.267783016,0.226102755,0.021448825,0.0,0.030702796,0.031091459,0.047748707,0.036393698,0.092277385,0.0,0.000898813,0.077023149,0.052478317,0.0,0.0,0.016944276,0.017788975,0.036152966,0.041471005,0.086362675,0.026647713,0.17820017,0.131370187,0.109395877,0.105030909,0.093805216,0.084833168,0.101983078,0.098488264,0.823769033,0.823624015,0.01383258,0.0,0.0,0.019642472,0.139898568,0.145853132,0.540292919,0.515775025,1.9e-09,0.0172111,-0.11573024399999998,-0.002327421,-0.045386218,-0.027760731,0.001259845,0.028179124,-0.027709045,-0.000780913
16:22:02:12.947,61,0.0,0.0,0.045905929,0,0.06643343,0.272313535,0.222660542,0.0,0.0,0.074557714,0.0,0.06650883,0.272305101,0.223030627,0.021437196,0.0,0.03083789,0.031143317,0.047840666,0.036500551,0.092819884,0.0,0.001168267,0.07616327,0.052074447,0.0,0.0,0.016876081,0.017725345,0.036053721,0.04135032,0.086443193,0.026747305,0.177780703,0.130901113,0.109690286,0.105317757,0.094013818,0.085112907,0.101527996,0.098174736,0.824797928,0.824653566,0.01378867,0.0,0.0,0.019685511,0.140214324,0.146104932,0.538515627,0.514888227,1.8e-09,0.017406944,-0.117037791,-0.002671161,-0.045525525,-0.029050058,0.001322434,0.028030558,-0.028998444,-0.000812964
16:22:02:13.949,61,0.0,0.0,0.046266291,0,0.067723513,0.274523586,0.221297115,0.0,0.0,0.074249849,0.0,0.06779892,0.274514884,0.221669138,0.021438723,0.0,0.030948624,0.031174678,0.047894605,0.036511481,0.09313643,0.0,0.001391817,0.075448521,0.051661357,0.0,0.0,0.016811917,0.017663986,0.035969771,0.04124241,0.086540237,0.026830494,0.177200213,0.130319864,0.109791361,0.105418913,0.094246566,0.085376591,0.101047598,0.097805992,0.82552135,0.82537657,0.013756395,0.0,0.0,0.019713406,0.140439704,0.146245375,0.536377966,0.512592912,1.6e-09,0.017328454,-0.117835093,-0.002876165,-0.045336802,-0.029613297,0.001342504,0.02825013,-0.029561754,-0.000835255
16:22:02:14.950,61,0.0,0.0,0.04589355,0,0.06802322,0.275768936,0.219888598,0.0,0.0,0.074639484,0.0,0.068097264,0.275760204,0.220248878,0.021416538,0.0,0.031056633,0.031204462,0.047952615,0.0365173,0.093290746,0.0,0.001646916,0.074797653,0.05141183,0.0,0.0,0.016773172,0.017629053,0.035937231,0.041194003,0.086631738,0.026897386,0.176630929,0.129755288,0.109821394,0.105461024,0.094447866,0.085640162,0.100606449,0.097498775,0.826144218,0.825999677,0.013755385,0.0,0.0,0.019720636,0.140573949,0.1463449,0.53407073,0.510795176,1.2e-09,0.017116383,-0.11902798999999997,-0.002942654,-0.045574535,-0.029743929,0.001355495,0.028022427,-0.029692389,-0.000832188
16:22:02:15.952,61,0.0,0.0,0.045682825,0,0.068030328,0.276400387,0.219128057,0.0,0.0,0.074892387,0.0,0.06810382,0.276391476,0.219482362,0.021390343,0.0,0.031130228,0.031183081,0.047937833,0.036473602,0.093422726,0.0,0.001939565,0.07426694,0.051248558,0.0,0.0,0.016730158,0.017592514,0.035865836,0.0411136,0.086616576,0.026955815,0.175662324,0.129076555,0.109667502,0.105318233,0.094605118,0.085856266,0.100086048,0.097103074,0.826676667,0.826532245,0.013759624,0.0,0.0,0.019734602,0.140547082,0.14627479,0.527920008,0.504126072,7e-10,0.017287735,-0.119452047,-0.002874925,-0.045728948,-0.029747002,0.001360226,0.027893756,-0.029695384,-0.000828452
16:22:02:16.953,61,0.0,0.0,0.045491383,0,0.070202328,0.279120207,0.218078777,0.0,0.0,0.075082041,0.0,0.070273362,0.279105961,0.218414635,0.021361139,0.0,0.031335659,0.03115817,0.047909465,0.036410976,0.093404144,0.0,0.00220143,0.073698282,0.050962649,0.0,0.0,0.016696146,0.017562417,0.035824869,0.041074876,0.086567864,0.02701579,0.174865142,0.128372327,0.109542362,0.105210803,0.094792657,0.086080663,0.099500246,0.09663561,0.828063965,0.827924073,0.013748492,0.0,0.0,0.019721605,0.14062123,0.146264523,0.525677145,0.501785696,5e-10,0.016723326,-0.11993919599999997,-0.002519294,-0.045843441,-0.030694794,0.001407103,0.027776066,-0.030643366,-0.000851309
