FaceBlendShape.EyeBlinkLeft,FaceBlendShape.EyeLookDownLeft,FaceBlendShape.EyeLookInLeft,FaceBlendShape.EyeLookOutLeft,FaceBlendShape.EyeLookUpLeft,FaceBlendShape.EyeSquintLeft,FaceBlendShape.EyeWideLeft,FaceBlendShape.EyeBlinkRight,FaceBlendShape.EyeLookDownRight,FaceBlendShape.EyeLookInRight,FaceBlendShape.EyeLookOutRight,FaceBlendShape.EyeLookUpRight,FaceBlendShape.EyeSquintRight,FaceBlendShape.EyeWideRight,FaceBlendShape.JawForward,FaceBlendShape.JawRight,FaceBlendShape.JawLeft,FaceBlendShape.JawOpen,FaceBlendShape.MouthClose,FaceBlendShape.MouthFunnel,FaceBlendShape.MouthPucker,FaceBlendShape.MouthRight,FaceBlendShape.MouthLeft,FaceBlendShape.MouthSmileLeft,FaceBlendShape.MouthSmileRight,FaceBlendShape.MouthFrownLeft,FaceBlendShape.MouthFrownRight,FaceBlendShape.MouthDimpleLeft,FaceBlendShape.MouthDimpleRight,FaceBlendShape.MouthStretchLeft,FaceBlendShape.MouthStretchRight,FaceBlendShape.MouthRollLower,FaceBlendShape.MouthRollUpper,FaceBlendShape.MouthShrugLower,FaceBlendShape.MouthShrugUpper,FaceBlendShape.MouthPressLeft,FaceBlendShape.MouthPressRight,FaceBlendShape.MouthLowerDownLeft,FaceBlendShape.MouthLowerDownRight,FaceBlendShape.MouthUpperUpLeft,FaceBlendShape.MouthUpperUpRight,FaceBlendShape.BrowDownLeft,FaceBlendShape.BrowDownRight,FaceBlendShape.BrowInnerUp,FaceBlendShape.BrowOuterUpLeft,FaceBlendShape.BrowOuterUpRight,FaceBlendShape.CheekPuff,FaceBlendShape.CheekSquintLeft,FaceBlendShape.CheekSquintRight,FaceBlendShape.NoseSneerLeft,FaceBlendShape.NoseSneerRight,FaceBlendShape.TongueOut,FaceBlendShape.HeadYaw,FaceBlendShape.HeadPitch,FaceBlendShape.HeadRoll,FaceBlendShape.LeftEyeYaw,FaceBlendShape.LeftEyePitch,FaceBlendShape.LeftEyeRoll,FaceBlendShape.RightEyeYaw,FaceBlendShape.RightEyePitch,FaceBlendShape.RightEyeRoll
6.1741e-06,0.038689505,0.081910431,0.0,0.0,0.02794691,0.180121541,6.148e-06,0.038658086,0.038780969,0.0,0.0,0.027953271,0.180533066,0.004712178,0.010563796,0.0,0.009801066,0.009306286,0.004797997,0.026385032,0.01043168,0.0,0.099002861,0.085769676,0.0,0.0,0.021848036,0.022409264,0.01933559,0.020359706,0.013314445,0.010959768,0.081654243,0.062906742,0.03425451,0.033714488,0.008983007,0.008459875,0.009125699,0.009017064,0.0,0.0,0.022921471,0.003639503,0.004192765,0.01214805,0.018438967,0.020076031,0.039162539,0.041245155,8.6e-09,0.028837647,0.054902849,0.033651114,-0.023683341,0.023621509,-0.000559488,0.050022252,0.023663681,0.001183438
5.6821e-06,0.038572807,0.081560023,0.0,0.0,0.02798056,0.180238083,5.6581e-06,0.038540803,0.039122682,0.0,0.0,0.02798697,0.180651739,0.004727862,0.010583547,0.0,0.009821052,0.009316585,0.004811738,0.026458392,0.010472599,0.0,0.098780371,0.085529037,0.0,0.0,0.021932466,0.022495527,0.019352676,0.020375866,0.013346332,0.01098562,0.082006544,0.063162267,0.034359824,0.033820525,0.008996794,0.008471798,0.009140943,0.00903017,0.0,0.0,0.022926409,0.003668036,0.004225204,0.012176229,0.018457668,0.020093441,0.039187569,0.041267887,8.5e-09,0.028395789,0.054996636,0.033985559,-0.023892062,0.023549963,-0.000562708,0.049808353,0.023592053,0.001174813
5.2293e-06,0.037953991,0.080888815,0.0,0.0,0.028035091,0.180562645,5.2072e-06,0.037920233,0.039783295,0.0,0.0,0.028041566,0.180978179,0.004736509,0.010633223,0.0,0.009829838,0.009327039,0.004826043,0.026524015,0.010517797,0.0,0.097010538,0.084054455,0.0,0.0,0.021878561,0.022439741,0.019354217,0.020375289,0.013355847,0.01098399,0.082156666,0.063284859,0.034400169,0.033862304,0.008997882,0.008471734,0.009142055,0.009027503,0.0,0.0,0.022913888,0.003759064,0.004320006,0.012198322,0.018466162,0.020103194,0.039179958,0.041248824,8.3e-09,0.027934069,0.055227366,0.034120113,-0.02429571,0.023170993,-0.000563001,0.049398881,0.023213102,0.00114644
4.8125e-06,0.037758257,0.080775686,0.0,0.0,0.02806405,0.18064709,4.7922e-06,0.037724301,0.039874733,0.0,0.0,0.028070547,0.181062624,0.004742835,0.010669677,0.0,0.009837188,0.009336709,0.004838624,0.02655079,0.010522896,0.0,0.096282177,0.083446339,0.0,0.0,0.021838931,0.022402613,0.019351898,0.020372478,0.013361969,0.010986021,0.082235843,0.063340716,0.034416825,0.033883743,0.008998856,0.008473219,0.009141144,0.009025976,0.0,0.0,0.022910208,0.003852498,0.004415601,0.012213068,0.018472469,0.020109315,0.039181516,0.041241843,8.4e-09,0.027534893,0.054799434,0.034460589,-0.024351621,0.023051301,-0.000561381,0.049329922,0.023093309,0.001138931
4.429e-06,0.036311623,0.080397621,0.0,0.0,0.028113984,0.1807466,4.4103e-06,0.036275718,0.040210359,0.0,0.0,0.028120536,0.181163967,0.004752486,0.010738109,0.0,0.009848838,0.009345634,0.00485503,0.026601935,0.010516633,0.0,0.095744714,0.082996182,0.0,0.0,0.021839386,0.022405332,0.019366395,0.020385791,0.013375916,0.01099561,0.082438722,0.06348709,0.034488868,0.033960361,0.009000582,0.008477439,0.009138816,0.009023722,0.0,0.0,0.022901105,0.003914162,0.004480477,0.012244219,0.018477004,0.020115348,0.039182786,0.04123126,6.6e-09,0.027496966,0.054110852,0.034665536,-0.024557078,0.02216626,-0.000544373,0.049100023,0.022208279,0.001090168
4.0761e-06,0.034562707,0.07997945,0.0,0.0,0.028206844,0.181111932,4.0588e-06,0.034524653,0.040573973,0.0,0.0,0.028213477,0.181527615,0.004771882,0.010816,0.0,0.009862618,0.00936123,0.00488357,0.026685383,0.01048719,0.0,0.094431348,0.082344741,0.0,0.0,0.021780847,0.022349345,0.01939136,0.02040991,0.013417183,0.010999921,0.082746707,0.063733168,0.034633368,0.034108557,0.00900391,0.008483652,0.009146554,0.009031749,0.0,0.0,0.022902275,0.004024784,0.004590255,0.012312563,0.0184948,0.020142073,0.039191239,0.04123573,5.3e-09,0.026882581,0.05387218,0.034987487,-0.02477972,0.02109639,-0.000522787,0.048845768,0.021138372,0.001032263
3.7512e-06,0.032645375,0.079350673,0.0,0.0,0.028365452,0.181497783,3.7354e-06,0.032604978,0.041194134,0.0,0.0,0.02837221,0.181912571,0.00479285,0.010870628,0.0,0.009874493,0.009377625,0.004910803,0.026778808,0.010513197,0.0,0.09078332,0.078912571,0.0,0.0,0.021675911,0.022241963,0.019416705,0.020432433,0.013455353,0.010996784,0.082993776,0.063946746,0.034756903,0.034235872,0.009007452,0.008490188,0.009145516,0.009027787,0.0,0.0,0.022896897,0.003986476,0.004549965,0.012382395,0.018507585,0.020156788,0.039178975,0.041208863,3.5e-09,0.026781105,0.053105098,0.035310116,-0.025159074,0.019923553,-0.000501272,0.048462927,0.019965371,0.00096733
3.4523e-06,0.030590268,0.079050392,0.0,0.0,0.028563166,0.182238296,3.4377e-06,0.030547725,0.041487601,0.0,0.0,0.028570063,0.182649583,0.00483116,0.010962918,0.0,0.00989923,0.009403177,0.004947603,0.026891071,0.010479168,0.0,0.088014439,0.077414207,0.0,0.0,0.021616584,0.022184605,0.019468619,0.020478418,0.013542756,0.011017605,0.083441265,0.064310364,0.034986984,0.034471676,0.009027015,0.00851185,0.009155445,0.009037504,0.0,0.0,0.022879925,0.003711134,0.004271281,0.012488634,0.018530075,0.02019266,0.039184701,0.041211106,2.1e-09,0.026545867,0.052143392,0.0355663,-0.025338924,0.018666539,-0.000472994,0.048280709,0.018708335,0.000903006
3.1772e-06,0.028503744,0.078174196,0.0,0.0,0.02878605,0.185700908,3.1638e-06,0.028458273,0.042383783,0.0,0.0,0.028793057,0.186104015,0.004876347,0.011033122,0.0,0.00994198,0.009443287,0.004979791,0.026942836,0.010459529,0.0,0.086602062,0.076411814,0.0,0.0,0.02157779,0.022146655,0.019536458,0.020540252,0.013641075,0.011060662,0.083694451,0.064501114,0.035139952,0.034628131,0.009069969,0.008553744,0.00915469,0.009037163,0.0,0.0,0.022860678,0.003489793,0.004046441,0.012588549,0.018553715,0.020233506,0.039160416,0.041187868,1.4e-09,0.026301071,0.050302324,0.035606537,-0.025886867,0.017389996,-0.000450168,0.047746662,0.017431816,0.000832079
2.924e-06,0.026945289,0.077884622,0.0,0.0,0.029008724,0.191816717,2.9116e-06,0.026898453,0.042667709,0.0,0.0,0.029015783,0.192206159,0.004930845,0.011043068,0.0,0.010004492,0.009499393,0.005013023,0.026981222,0.010421927,0.0,0.08585453,0.075843826,0.0,0.0,0.021583067,0.022153586,0.019616455,0.020623038,0.013775845,0.011119909,0.084015839,0.064722233,0.035293926,0.034781285,0.009134895,0.008615869,0.009173541,0.009054619,0.0,0.0,0.022869395,0.003361004,0.003913738,0.012692483,0.018595297,0.020294854,0.03915637,0.0411801,7e-10,0.026316855,0.04847337,0.035964068,-0.0260607,0.01643691,-0.000428348,0.04757056,0.016478585,0.000783671
